kaomoji,subcategory,category
✴==≡눈٩(`皿´҂)ง,Weapons,Other Types
Q(`⌒´Q),Weapons,Other Types
(ノ ˘_˘)ノ　ζ|||ζ　ζ|||ζ　ζ|||ζ,Magic,Other Types
(ﾉ≧∀≦)ﾉ ‥…━━━★,Magic,Other Types
"(ﾉ>ω<)ﾉ :｡･:*:･ﾟ’★,｡･:*:･ﾟ’☆",Magic,Other Types
(ノ°∀°)ノ⌒･*:.｡. .｡.:*･゜ﾟ･*☆,Magic,Other Types
╰( ͡° ͜ʖ ͡° )つ──☆*:・ﾟ,Magic,Other Types
(＃￣□￣)o━∈・・━━━━☆,Magic,Other Types
(⊃｡•́‿•̀｡)⊃━✿✿✿✿✿✿,Magic,Other Types
(∩ᄑ_ᄑ)⊃━☆ﾟ*･｡*･:≡( ε:),Magic,Other Types
(/￣ー￣)/~~☆’.･.･:★’.･.･:☆,Magic,Other Types
(∩` ﾛ ´)⊃━炎炎炎炎炎,Magic,Other Types
(っ˘ڡ˘ς),Food,Other Types
( o˘◡˘o) ┌iii┐,Food,Other Types
(　’ω’)旦~~,Food,Other Types
( ˘▽˘)っ♨,Food,Other Types
♨o(>_<)o♨,Food,Other Types
( ・ω・)o-{{[〃]}},Food,Other Types
(　・ω・)⊃-[二二],Food,Other Types
( ・・)つ―{}@{}@{}-,Food,Other Types
( ・・)つ-●●●,Food,Other Types
(*´ー`)旦 旦(￣ω￣*),Food,Other Types
(*´з`)口ﾟ｡ﾟ口(・∀・ ),Food,Other Types
( o^ ^o)且 且(´ω`*),Food,Other Types
( ￣▽￣)[] [](≧▽≦ ),Food,Other Types
( *^^)o∀*∀o(^^* ),Food,Other Types
( ^^)_旦~~　 ~~U_(^^ ),Food,Other Types
(*￣▽￣)旦 且(´∀`*),Food,Other Types
-●●●-ｃ(・・ ),Food,Other Types
( ・・)つ―●○◎-,Food,Other Types
(￣﹃￣),Food,Other Types
(๑ᵔ⤙ᵔ๑),Food,Other Types
(´ᵔ⤙ᵔ`),Food,Other Types
ヾ(´〇`)ﾉ♪♪♪,Music,Other Types
ヘ(￣ω￣ヘ),Music,Other Types
(〜￣▽￣)〜,Music,Other Types
〜(￣▽￣〜),Music,Other Types
ヽ(o´∀`)ﾉ♪♬,Music,Other Types
(ﾉ≧∀≦)ﾉ,Music,Other Types
♪ヽ(^^ヽ)♪,Music,Other Types
♪(/_ _ )/♪,Music,Other Types
♪♬((d⌒ω⌒b))♬♪,Music,Other Types
└(￣-￣└)),Music,Other Types
((┘￣ω￣)┘,Music,Other Types
√(￣‥￣√),Music,Other Types
└(＾＾)┐,Music,Other Types
┌(＾＾)┘,Music,Other Types
＼(￣▽￣)＼,Music,Other Types
／(￣▽￣)／,Music,Other Types
(￣▽￣)/♫•*¨*•.¸¸♪,Music,Other Types
(^_^♪),Music,Other Types
(~˘▽˘)~,Music,Other Types
~(˘▽˘~),Music,Other Types
ヾ(⌐■_■)ノ♪,Music,Other Types
(〜￣△￣)〜,Music,Other Types
(~‾▽‾)~,Music,Other Types
~(˘▽˘)~,Music,Other Types
乁( • ω •乁),Music,Other Types
(｢• ω •)｢,Music,Other Types
⁽⁽◝( • ω • )◜⁾⁾,Music,Other Types
✺◟( • ω • )◞✺,Music,Other Types
♬♫♪◖(● o ●)◗♪♫♬,Music,Other Types
( ˘ ɜ˘) ♬♪♫,Music,Other Types
♪♪♪ ヽ(ˇ∀ˇ )ゞ,Music,Other Types
(ˇ▽ˇ)ノ♪♬♫,Music,Other Types
( ^^)p_____|_o____q(^^ ),Games,Other Types
(／o^)/ °⊥ ＼(^o＼),Games,Other Types
!(;ﾟoﾟ)o/￣￣￣￣￣￣￣~ >ﾟ))))彡,Games,Other Types
ヽ(^o^)ρ┳┻┳°σ(^o^)ノ,Games,Other Types
(／_^)／　　●　＼(^_＼),Games,Other Types
"""( (≡|≡))_／ ＼_((≡|≡) )""",Games,Other Types
( ノ-_-)ノﾞ_□ VS □_ヾ(^-^ヽ),Games,Other Types
ヽ(；^ ^)ノﾞ ．．．...___〇,Games,Other Types
(=O*_*)=O Q(*_*Q),Games,Other Types
Ю　○三　＼(￣^￣＼),Games,Other Types
(˙ω˙)🎮(˙∀˙)🎮,Games,Other Types
( ͡° ͜ʖ ͡°),Faces,Other Types
( ͡° ʖ̯ ͡°),Faces,Other Types
( ͠° ͟ʖ ͡°),Faces,Other Types
( ͡ᵔ ͜ʖ ͡ᵔ),Faces,Other Types
( . •́ _ʖ •̀ .),Faces,Other Types
( ఠ ͟ʖ ఠ),Faces,Other Types
( ͡ಠ ʖ̯ ͡ಠ),Faces,Other Types
( ಠ ʖ̯ ಠ),Faces,Other Types
( ಠ ͜ʖ ಠ),Faces,Other Types
( ಥ ʖ̯ ಥ),Faces,Other Types
( ͡• ͜ʖ ͡• ),Faces,Other Types
( ･ิ ͜ʖ ･ิ),Faces,Other Types
( ͡  ͜ʖ ͡  ),Faces,Other Types
(≖ ͜ʖ≖),Faces,Other Types
(ʘ ʖ̯ ʘ),Faces,Other Types
(ʘ ͟ʖ ʘ),Faces,Other Types
(ʘ ͜ʖ ʘ),Faces,Other Types
(;´༎ຶٹ༎ຶ`),Faces,Other Types
٩(ˊ〇ˋ*)و,Special,Other Types
(￣^￣)ゞ,Special,Other Types
(－‸ლ),Special,Other Types
(╯°益°)╯彡┻━┻,Special,Other Types
(╮°-°)╮┳━━┳ ( ╯°□°)╯ ┻━━┻,Special,Other Types
┬─┬ノ( º _ ºノ),Special,Other Types
(oT-T)尸,Special,Other Types
[̲̅$̲̅(̲̅ ͡° ͜ʖ ͡°̲̅)̲̅$̲̅],Special,Other Types
(ಠ_ಠ),Special,Other Types
౦０o ｡ (‾́。‾́ )y~~,Special,Other Types
(x(x_(x_x(O_o)x_x)_x)x),Special,Other Types
(　･ω･)☞,Special,Other Types
(⌐■_■),Special,Other Types
(◕‿◕✿),Special,Other Types
(　￣.)o-　　【　TV　】,Special,Other Types
｀、ヽ｀ヽ｀、ヽ(ノ＞＜)ノ ｀、ヽ｀☂ヽ｀、ヽ,Special,Other Types
‿︵‿︵‿︵‿ヽ(°□° )ノ︵‿︵‿︵‿︵,Special,Other Types
( • )( • )ԅ(≖‿≖ԅ),Special,Other Types
( ＾▽＾)っ✂╰⋃╯,Special,Other Types
〜〜(／￣▽)／　〜ф,Special,Other Types
ଘ(੭ˊᵕˋ)੭* ੈ✩‧₊˚,Special,Other Types
ଘ(੭ˊ꒳​ˋ)੭✧,Special,Other Types
_(:3 」∠)_,Special,Other Types
∠( ᐛ 」∠)_,Special,Other Types
